entity,question,answer1,answer2,answer3,answer4,correctAnswer,reference,category
CMCC,What is the greenhouse effect?,"When holes in the ozone form causing the sun to penetrate over certain places around the world, causing them to warm",A natural phenomenon where an overproduction of clouds can trap heat causing areas to rise in temperature,"When certain gases in the atmophere act like a blanket and trap heat from being released back into the atmophere, causing the planet to warm",An effect where conditions like humidity and temperature reach certain levels that enhance plant growth,3,https://www.epa.gov/climatechange-science/basics-climate-change#greenhouse,Climate change fundamentals
CMCC,True or False: Positive feedbacks amplify changes in climate while negative feedbacks offeset changes in climate,TRUE,FALSE,,,1,https://www.epa.gov/climatechange-science/basics-climate-change#feedbacks,Climate change fundamentals
CMCC,Which is an example of a positive climate feedback?,"Increased evaporation from oceans causing an increase in cloud cover, causing the clouds to relect solar radition, causing the temperature to lower","Increased evaporation results in water vapor in the atmosphere, which turns into rain, causing cooling of Earth's atmosphere","As temperatures increase, permafrost thaws, releasing trapped gases back into the atmosphere, which stabilizes the atmsphere ","As the earth warms, ice and snow melt, causing more land and ocean to be exsposed, cuasing more heat to be absorbed, resulting in the Earth temperature rising ",4,https://www.epa.gov/climatechange-science/basics-climate-change#feedbacks,Climate change fundamentals
CMCC,Which is an example of a negative climate feedback?,"As water evaporates, it becomes water vapor in the atmosphere, the water vapor traps heat, causing temperatures to increase, which causes more water to evaporate","Increased evaporation from oceans causing an increase in cloud cover, causing the clouds to relect solar radition, causing the temperature to lower","Increase temperatures causes permafrost to thraw, which release trapped carbon and methane into the atmophere, causing more warming in the atmosphere, which causes more frost to thaw and more carbon and methane to be released",,2,"https://energyeducation.ca/encyclopedia/Negative_climate_feedback#:~:text=Negative%20climate%20feedback%20is%20any,keeps%20the%20climate%20system%20stable.",Climate change fundamentals
IIASA,What is the primary purpose of a carbon tax?,To subsidize fossil fuel industries,To penalize companies for water usage,To reduce carbon dioxide emissions by making fossil fuels more expensive,To fund renewable energy research,3,"Timilsina, G. R., Csordás, S., & Mevel, S. (2011). When does a carbon tax on fossil fuels stimulate biofuels?. Ecological Economics, 70(12), 2400-2415.",Climate change fundamentals
IIASA,Which of the following is a renewable energy source?,Coal,Natural gas,Solar power,Nuclear energy,3,"Khan, J., & Arsalan, M. H. (2016). Solar power technologies for sustainable electricity generation–A review. Renewable and Sustainable Energy Reviews, 55, 414-425.",Climate change fundamentals
IIASA,"What does ""carbon capture and storage"" (CCS) refer to?",Planting trees to absorb CO2,Reducing energy consumption in buildings,Recycling carbon-based materials,Capturing CO2 emissions from sources like power plants and storing them underground,4,"Benson, S. M., & Orr, F. M. (2008). Carbon dioxide capture and storage. MRS bulletin, 33(4), 303-305.",Climate change fundamentals
IIASA,Which sector is the largest contributor to global greenhouse gas emissions?,Energy production,Agriculture,Transportation,Residential heating,1,"https://www.epa.gov/ghgemissions/global-greenhouse-gas-overview#:~:text=Electricity%20and%20Heat%20Production%20(34,of%20global%20greenhouse%20gas%20emissions. ",Climate change fundamentals
IIASA,What is climate justice?,Legal actions against polluters,"Addressing the ethical dimensions of climate change, ensuring fairness and equity",Increasing penalties for carbon emissions,Promoting renewable energy technologies,2,"Walker, S. E., Smith, E. A., Bennett, N., Bannister, E., Narayana, A., Nuckols, T., ... & Bailey, K. M. (2024). Defining and conceptualizing equity and justice in climate adaptation. Global Environmental Change, 87, 102885.",Climate change fundamentals
IIASA,Which international body assesses the science related to climate change?,World Health Organization (WHO),World Meteorological Organization (WMO),United Nations Development Programme (UNDP),Intergovernmental Panel on Climate Change (IPCC),4,https://www.ipcc.ch/ ,Climate change fundamentals
IIASA,Which of the following best describes an urban heat island?,A tropical island affected by rising sea levels,A city area significantly warmer than its rural surroundings,A coastal region experiencing increased temperatures,A protected area with minimal human impact,2,https://www.cambridge.org/core/books/climate-change-2022-impacts-adaptation-and-vulnerability/glossary/EB298BA71905BEC7462EA11BF4C4EA09,Climate change fundamentals
IIASA,How do oceans help regulate the Earth's climate?,By reflecting sunlight back into space,By producing oxygen through marine life,By preventing the formation of clouds,By absorbing and storing large amounts of CO2 and heat,4,"Feely, R. A., Sabine, C. L., Takahashi, T., & Wanninkhof, R. (2001). Uptake and storage of carbon dioxide in the ocean: The global co~ 2 survey. OCEANOGRAPHY-WASHINGTON DC-OCEANOGRAPHY SOCIETY-, 14(4), 18-32.",Climate change fundamentals
IIASA,What role do forests play in the carbon cycle?,They release carbon dioxide during photosynthesis,They store nitrogen from the atmosphere,They absorb carbon dioxide and store carbon,They prevent carbon from entering the soil,3,https://www.woodwellclimate.org/global-forest-carbon-storage-explained/ ,Climate change fundamentals
IIASA,Which technology is primarily used for measuring global temperature changes?,Seismographs,Satellites,Barometers,Anemometers,2,"Spencer, R. W., & Christy, J. R. (1990). Precise monitoring of global temperature trends from satellites. Science, 247(4950), 1558-1562.",Climate change fundamentals
IIASA,What is the main goal of the Paris Agreement?,To ban all fossil fuels by 2050,To limit global warming to well below 2 degrees Celsius above pre-industrial levels,To establish a global carbon tax,To fund renewable energy projects exclusively in Europe,2,"https://unfccc.int/most-requested/key-aspects-of-the-paris-agreement#:~:text=The%20Paris%20Agreement's%20central%20aim,further%20to%201.5%20degrees%20Celsius.",Climate change fundamentals
IIASA,Which of the following is considered a climate mitigation strategy?,Reducing greenhouse gas emissions,Building sea walls,Developing drought-resistant crops,Enhancing emergency response systems,1,"https://www.eea.europa.eu/en/topics/in-depth/climate-change-mitigation-reducing-emissions#:~:text=Mitigating%20climate%20change%20means%20reducing,important%20part%20of%20the%20solution.",Climate change fundamentals
IIASA,What is carbon footprint?,The amount of carbon stored in trees,"The total greenhouse gas emissions caused directly and indirectly by an individual, organization, event, or product",The footprint left by carbon particles on surfaces,The rate at which carbon is absorbed by the ocean,2,https://css.umich.edu/publications/factsheets/sustainability-indicators/carbon-footprint-factsheet,Climate change fundamentals
IIASA,What is sustainable transportation?,Transportation that relies solely on gasoline,Transportation systems that have a low environmental impact and are energy-efficient,Expanding highway networks,Increasing the number of vehicles on the road,2,https://www.energy.gov/eere/sustainable-transportation-and-fuels,Climate change fundamentals
IIASA,How does deforestation contribute to climate change?,By increasing oxygen production,By enhancing soil fertility,By decreasing methane emissions,By reducing the number of trees that can absorb CO2,4,"https://www.emission-index.com/deforestation/carbon-cycle#:~:text=Impact%20of%20human%20activities&text=Reduced%20sequestration%3A%20Fewer%20trees%20mean,ability%20to%20balance%20atmospheric%20carbon.",Climate change fundamentals
IIASA,Which of the following is a consequence of permafrost thawing?,Decreased sea levels,Release of trapped methane and CO2,Increased forest cover,Reduction in ocean acidification,2,"Natali, S. M., Schuur, E. A., Mauritz, M., Schade, J. D., Celis, G., Crummer, K. G., ... & Webb, E. E. (2015). Permafrost thaw and soil moisture driving CO2 and CH4 release from upland tundra. Journal of Geophysical Research: Biogeosciences, 120(3), 525-537.",Climate change fundamentals
IIASA,What is carbon neutrality?,Balancing emitted carbon with an equivalent amount sequestered or offset,Eliminating all carbon emissions,Increasing carbon emissions sustainably,Reducing carbon emissions by 50%,1,https://www.europarl.europa.eu/topics/en/article/20190926STO62270/what-is-carbon-neutrality-and-how-can-it-be-achieved-by-2050,Climate change fundamentals
IIASA,What is the main objective of the Montreal Protocol?,Reduce carbon emissions,Protect the ozone layer by phasing out ozone-depleting substances,Promote renewable energy,Enhance carbon sequestration in forests,2,https://ozone.unep.org/treaties/montreal-protocol,Climate change fundamentals
IIASA,Which of the following is a direct consequence of ocean warming?,Increased ice formation,Decreased marine biodiversity,Coral bleaching,Reduced sea levels,3,"https://oceanservice.noaa.gov/facts/coral_bleach.html#:~:text=Change%20in%20ocean%20temperature%20Increased,can%20bleach%20near-shore%20corals.",Climate change fundamentals
IIASA,Which country is the largest emitter of carbon dioxide as of 2023?,United States,China,India,Germany,2,https://www.iea.org/reports/co2-emissions-in-2023/the-changing-landscape-of-global-emissions,Climate change fundamentals
IIASA,What is extinction debt?,Financial losses due to climate disasters,Debt incurred by countries for climate mitigation,Loss of genetic diversity in crops,The future extinction of species due to past habitat loss,4,"Kuussaari, M., Bommarco, R., Heikkinen, R. K., Helm, A., Krauss, J., Lindborg, R., ... & Steffan-Dewenter, I. (2009). Extinction debt: a challenge for biodiversity conservation. Trends in ecology & evolution, 24(10), 564-571.",Climate change fundamentals
IIASA,Which sector is the largest consumer of freshwater resources globally?,Agricultural,Industrial,Residential,Energy production,1,"https://blogs.worldbank.org/en/opendata/strains-freshwater-resources-impact-food-production-water-consumption#:~:text=The%20large%20amount%20of%20water,resources%20are%20used%20for%20agriculture.",Climate change fundamentals
IIASA,What is carbon leakage?,The accidental release of CO₂ from storage sites,The transfer of carbon emissions from one country to another due to climate policies,The loss of carbon in forest ecosystems,The escape of carbon from vehicles,2,"https://climate.ec.europa.eu/eu-action/eu-emissions-trading-system-eu-ets/free-allocation/carbon-leakage_en#:~:text=Carbon%20leakage%20refers%20to%20the,increase%20in%20their%20total%20emissions.",Climate change fundamentals
IIASA,What is the tipping point in climate science?,The point at which renewable energy becomes cheaper than fossil fuels,The moment when global temperatures reach 2°C above pre-industrial levels,A critical threshold where a small change can lead to significant and irreversible climate impacts,The time when all ice caps have melted,3,"Lenton, T. M., Held, H., Kriegler, E., Hall, J. W., Lucht, W., Rahmstorf, S., & Schellnhuber, H. J. (2008). Tipping elements in the Earth's climate system. Proceedings of the national Academy of Sciences, 105(6), 1786-1793.",Climate change fundamentals
IIASA,What is the primary effect of climate change on polar bears?,Increased food availability,Loss of sea ice habitat,Enhanced breeding grounds,Improved health conditions,2,"Stern, H. L., & Laidre, K. L. (2016). Sea-ice indicators of polar bear habitat. The Cryosphere, 10(5), 2027-2041.",Climate change fundamentals
IIASA,Which of the following is a consequence of reduced Arctic sea ice?,"Increased absorption of solar radiation, leading to further warming",Decreased global temperatures,Stabilization of global climate patterns,Enhanced marine biodiversity,1,"https://climate.copernicus.eu/climate-indicators/sea-ice#:~:text=For%20example%2C%20a%20reduction%20in,to%20further%20sea%20ice%20loss.",Climate change fundamentals
IIASA,Which of the following is a key indicator of climate change?,Decreased global temperatures,Increased ozone layer thickness,Reduced volcanic activity,Rising global sea levels,4,https://sealevel.nasa.gov/understanding-sea-level/key-indicators/global-mean-sea-level/,Climate change fundamentals
IIASA,What is the primary purpose of carbon pricing mechanisms?,To regulate water usage,To internalize the environmental cost of carbon emissions,To subsidize fossil fuel industries,To fund space exploration,2,"https://carbonpricingdashboard.worldbank.org/what-carbon-pricing#:~:text=Carbon%20pricing%20is%20an%20instrument,to%20their%20sources%20through%20a",Climate change fundamentals
IIASA,Which of the following is a potential impact of climate change on freshwater resources?,Increased freshwater availability in all regions,Complete elimination of freshwater ecosystems,Altered precipitation patterns leading to droughts and floods,Reduced need for water conservation,3,"Pizzorni, M., Innocenti, A., & Tollin, N. (2024). Droughts and floods in a changing climate and implications for multi-hazard urban planning: A review. City and Environment Interactions, 100169.",Climate change fundamentals
IIASA,What is the main function of the Green Climate Fund?,To regulate carbon markets,To assist developing countries in adapting to and mitigating climate change,To fund fossil fuel projects,To research climate science,2,"https://www.greenclimate.fund/about#:~:text=GCF%20is%20mandated%20to%20invest,LDCs%2C%20and%20African%20States).",Climate change fundamentals
IIASA,What is climate sensitivity?,The degree to which global temperatures respond to changes in atmospheric CO₂ concentrations,The sensitivity of weather patterns to ocean currents,The sensitivity of plants to temperature changes,The responsiveness of governments to climate policies,1,"https://www.metoffice.gov.uk/research/climate/understanding-climate/climate-sensitivity-explained#:~:text=Climate%20sensitivity%20is%20typically%20defined,be%20at%20roughly%20520%20ppm.",Climate change fundamentals
IIASA,What is the main driver behind the increased frequency of wildfires globally?,Increased rainfall,Decreased forest density,Increased urbanization,Rising temperatures and prolonged droughts due to climate change,4,https://www.noaa.gov/noaa-wildfire/wildfire-climate-connection,Climate change fundamentals
IIASA,What is the tragedy of the commons in the context of climate change?,Natural disasters affecting common lands,Overuse and depletion of shared resources due to individual self-interest,The loss of common cultural practices,Tragic events caused by climate impacts,2,"Thompson Jr, B. H. (2000). Tragically difficult: the obstacles to governing the commons. Envtl. L., 30, 241.",Climate change fundamentals
IIASA,Which region is most vulnerable to the impacts of sea-level rise?,Small island nations and coastal cities,Mountainous regions,Desert areas,Inland agricultural zones,1,"Mycoo, M. A. (2018). Beyond 1.5 C: vulnerabilities and adaptation strategies for Caribbean Small Island developing states. Regional environmental change, 18(8), 2341-2353.",Climate change fundamentals
IIASA,Which of the following is an example of circular economy practice?,Single-use plastic production,Recycling materials to create new products,Expanding landfills for waste disposal,Increasing consumer consumption of disposable goods,2,"https://www.europarl.europa.eu/topics/en/article/20151201STO05603/circular-economy-definition-importance-and-benefits#:~:text=The%20circular%20economy%20is%20a,reducing%20waste%20to%20a%20minimum.",Climate change fundamentals
IIASA,What is climate adaptation?,Reducing greenhouse gas emissions,Ignoring climate change effects,Adjusting practices and systems to minimize harm from climate impacts,Increasing carbon emissions to build resilience,3,"https://unfccc.int/topics/adaptation-and-resilience/the-big-picture/introduction#:~:text=Adaptation%20refers%20to%20adjustments%20in,opportunities%20associated%20with%20climate%20change.",Climate change fundamentals
IIASA,What is green infrastructure?,Using only green-colored materials in construction,Building more highways,Increasing industrial production,Implementing natural systems like parks and green roofs to manage climate impacts,4,"https://environment.ec.europa.eu/topics/nature-and-biodiversity/green-infrastructure_en#:~:text=Well-designed%20urban%20green%20spaces,well-being%20of%20urban%20residents.",Climate change fundamentals
IIASA,What role do early warning systems play in climate adaptation?,They provide timely information to prepare for and respond to extreme weather events,They eliminate the need for disaster response,They predict economic growth,They control weather patterns,1,"https://wmo.int/topics/early-warning-system#:~:text=Early%20warning%20systems%20are%20put,assets%20of%20people%20at%20risk.",Climate change fundamentals
IIASA,Which of the following is an example of community-based climate adaptation?,Implementing top-down policies without local input,Engaging local communities in developing and implementing adaptation strategies,Ignoring traditional knowledge in planning,Centralizing decision-making in government agencies,2,"Ayers, J., & Forsyth, T. (2009). Community-based adaptation to climate change. Environment: science and policy for sustainable development, 51(4), 22-31.",Climate change fundamentals
IIASA,Which of the following best describes climate feedback mechanisms?,Processes that have no impact on the climate system,Processes that can either amplify or diminish the effects of climate forcings,Human policies aimed at mitigating climate change,Technological advancements to reduce emissions,2,"https://climate.nasa.gov/nasa_science/science/#:~:text=Climate%20feedbacks%3A%20processes%20that%20can,is%20a%20""negative%20feedback.""",Climate change fundamentals
IIASA,What role do wetlands play in climate regulation?,They release large amounts of methane into the atmosphere,They have no significant impact on climate,They act as carbon sinks and help in regulating water cycles,They primarily contribute to ozone depletion,3,"https://bwsr.state.mn.us/carbon-sequestration-wetlands#:~:text=All%20wetlands%20sequester%20carbon%20from,instances%2C%20over%20thousands%20of%20years.",Climate change fundamentals
IIASA,What is climate modeling? ,Designing fashionable clothing for different climates,Creating physical models of the Earth’s atmosphere,Developing economic models for climate policy,Using mathematical models to simulate and predict climate systems and changes,4,"https://www.sciencedirect.com/topics/earth-and-planetary-sciences/climate-modeling#:~:text=Climate%20Modeling%20refers%20to%20the,circulation%2C%20temperature%2C%20and%20precipitation.",Climate change fundamentals
IIASA,What is the role of traditional knowledge in climate adaptation?,It is irrelevant to modern adaptation strategies,It provides valuable insights and practices for managing climate impacts,It hinders the implementation of scientific solutions,It only applies to indigenous communities without broader relevance,2,"https://climatepromise.undp.org/news-and-stories/indigenous-knowledge-crucial-fight-against-climate-change-heres-why#:~:text=Many%20Indigenous%20traditional%20practices%20offer,the%20rest%20of%20the%20world.",Climate change fundamentals
IIASA,What is cool roofing? ,Applying reflective materials to roofs to reduce heat absorption and lower building temperatures,Using dark-colored materials to absorb heat,Installing thick insulation to retain heat,Painting roofs in vibrant colors for aesthetic purposes,1,"https://www.energy.gov/energysaver/cool-roofs#:~:text=A%20cool%20roof%20is%20designed,a%20sunny%20summer%20afternoon%2C%20sun.",Climate change fundamentals
IIASA,What is urban greening and how does it aid climate adaptation?,Painting buildings green for aesthetic purposes,Replacing all concrete with grass,Planting trees and creating green spaces in urban areas to mitigate heat and manage stormwater,Encouraging urban residents to adopt plant-based diets,3,"Paudel, S., & States, S. L. (2023). Urban green spaces and sustainability: Exploring the ecosystem services and disservices of grassy lawns versus floral meadows. Urban Forestry & Urban Greening, 84, 127932.",Climate change fundamentals
IIASA,How does rainwater harvesting contribute to climate adaptation?,By increasing dependence on groundwater,By diverting water away from agricultural lands,By increasing runoff during heavy rains,By collecting and storing rainwater for use during dry periods,4,https://unfccc.int/climate-action/momentum-for-change/activity-database/rainwater-harvesting-system-to-reduce-climate-change-vulnerability,Climate change fundamentals
IIASA,By how much has the global average temperature increased since the pre-industrial era (1850-1900)?,1.3°C,0.5°C,2.0°C,1.8°C,1,https://climate.copernicus.eu/climate-indicators/temperature,Climate change fundamentals
IIASA,"As of 2023, what percentage of the world's electricity was generated from renewable energy sources?",25%,30%,40%,15%,2,"https://ourworldindata.org/data-insights/renewable-electricity-2023#:~:text=As%20the%20chart%20shows%2C%20renewables,severe%20droughts%2C%20especially%20in%20China.",Climate change fundamentals
IIASA,What is the estimated climate change damage cost per hour in USD?,$500,$150000,$16 million,$5 million,3,https://www.weforum.org/agenda/2023/10/climate-loss-and-damage-cost-16-million-per-hour/,Climate change fundamentals
IIASA,By what percentage has the global coverage of coral reef declined since 1950?,50%,25%,5%,70%,1,"Eddy, T. D., Lam, V. W., Reygondeau, G., Cisneros-Montemayor, A. M., Greer, K., Palomares, M. L. D., ... & Cheung, W. W. (2021). Global decline in capacity of coral reefs to provide ecosystem services. One Earth, 4(9), 1278-1285.",Climate change fundamentals
IIASA,Which gas has a global warming potential approximately 28 times greater than CO₂ over 100 years?,Nitrous oxide (N₂O),Methane (CH₄),Sulfur hexafluoride (SF₆),Water vapor (H₂O),2,https://climate.mit.edu/ask-mit/why-do-we-compare-methane-carbon-dioxide-over-100-year-timeframe-are-we-underrating,Climate change fundamentals
IIASA,What role do aerosols play in climate change?,They always warm the atmosphere,They have no significant effect on climate,They can both cool and warm the atmosphere depending on their properties,They deplete the ozone layer,3,https://science.nasa.gov/science-research/earth-science/climate-science/aerosols-small-particles-with-big-climate-effects/,Climate change fundamentals
IIASA,What is ocean thermal expansion?,"The expansion of ocean water as it warms, contributing to sea-level rise",The spreading of oceans due to tectonic plate movement,The increase in ocean salinity due to evaporation,The decrease in ocean volume due to cooling temperatures,1,"https://sealevel.nasa.gov/understanding-sea-level/global-sea-level/thermal-expansion/#:~:text=The%20warming%20of%20Earth%20is,increase%20in%20global%20sea%20level.",Climate change fundamentals
IIASA,What is black carbon and how does it affect climate?,A greenhouse gas that traps heat,Fine particles from incomplete combustion that absorb sunlight and warm the atmosphere,A type of fossil fuel that releases CO₂ when burned,A cooling agent that reflects sunlight back into space,2,"https://www.ccacoalition.org/short-lived-climate-pollutants/black-carbon#:~:text=Black%20carbon%2C%20commonly%20known%20as,monoxide%2C%20and%20volatile%20organic%20compounds.",Climate change fundamentals
IIASA,How can soils help mitigate climate change?,By releasing stored carbon into the atmosphere,By acting as carbon sinks through carbon sequestration,By increasing albedo,By reducing methane emissions,2,"https://www.ifpenergiesnouvelles.com/issues-and-foresight/decoding-keys/climate-environment-and-circular-economy/soils-carbon-sinks-and-climate-players#:~:text=Soils%20store%20carbon%20in%20the,in%20climate%20change%20mitigation%20strategies.",Climate change fundamentals
IIASA,What is the potential impact of climate change on fisheries?,Improved fish stocks due to warmer waters,No significant impact,Disruption of marine ecosystems leading to declines in fish populations,Reduced ocean acidity benefiting shellfish,3,https://doi.org/10.1038/srep32607,Climate change fundamentals
IIASA,How can volcanic eruptions influence climate?,By releasing greenhouse gases that warm the atmosphere,By increasing Earth's albedo permanently,By destroying ozone and causing warming,By emitting aerosols that reflect sunlight and cause temporary cooling,4,https://science.nasa.gov/science-research/earth-science/climate-science/aerosols-small-particles-with-big-climate-effects/,Climate change fundamentals
IIASA,What is the difference between climate and weather?,There is no difference; they are the same,Climate is about precipitation; weather is about temperature,Weather refers to short-term atmospheric conditions; climate is the average over long periods,Weather is global; climate is local,3,"https://www.usgs.gov/faqs/what-difference-between-weather-and-climate-change#:~:text=Weather%20refers%20to%20short%20term,refers%20to%20long%2Dterm%20changes.",Climate change fundamentals
IIASA,How does cloud cover influence climate change?,Clouds can both warm and cool the Earth depending on their type and altitude,Clouds always cool the Earth by reflecting sunlight,Clouds always warm the Earth by trapping heat,Clouds have no effect on Earth's climate,1,"https://climatekids.nasa.gov/cloud-climate/#:~:text=Clouds%20within%20a%20mile%20or,Earth%20more%20than%20they%20cool.",Climate change fundamentals
IIASA,What is ocean deoxygenation?,The process of oxygen being absorbed into ocean water,The increase of oxygen levels due to photosynthesis,The removal of CO₂ from ocean waters,The loss of oxygen in ocean waters due to increased temperatures and stratification,4,"https://marine.copernicus.eu/explainers/phenomena-threats/deoxygenation#:~:text=Oxygen%20loss%20is%20mainly%20due,leading%20to%20reduced%20oxygen%20levels.",Climate change fundamentals
IIASA,What is the concept of a carbon budget?,The limit of carbon emissions a country is allowed per year,The total amount of CO₂ that can be emitted while keeping global temperature rise within a certain limit,The financial cost of carbon capture technologies,The amount of carbon stored in forests,2,https://www.ipcc.ch/report/ar6/wg1/downloads/faqs/IPCC_AR6_WGI_FAQ_Chapter_05.pdf,Climate change fundamentals
IIASA,What does the concept of net zero emissions entail?,Completely eliminating all greenhouse gas emissions,Allowing emissions to continue increasing,Balancing emitted greenhouse gases with removal or offsetting efforts to achieve zero net emissions,Ignoring emissions from certain sectors,3,"https://netzeroclimate.org/what-is-net-zero-2/#:~:text=Net%20zero%20refers%20to%20a,the%20need%20for%20net%20zero.",Climate change fundamentals
IIASA,What is the main difference between adaptation and mitigation in climate change strategies?,Mitigation addresses the causes; adaptation addresses the effects,Adaptation addresses the causes; mitigation addresses the effects,Both terms mean the same thing,Adaptation is for developed countries; mitigation is for developing countries,1,https://www.uncclearn.org/wp-content/uploads/library/mpdf.pdf,Climate change fundamentals
IIASA,What is the impact of deforestation in the Amazon on climate change?,It has no significant impact,"It contributes to increased CO₂ levels and loss of biodiversity, exacerbating climate change",It helps reduce global temperatures,"It increases Earth's albedo, cooling the planet",2,"Flores, B. M., Montoya, E., Sakschewski, B., Nascimento, N., Staal, A., Betts, R. A., ... & Hirota, M. (2024). Critical transitions in the Amazon forest system. Nature, 626(7999), 555-564.",Climate change fundamentals
IIASA,What are climate refugees?,People who deny the existence of climate change,Animals that migrate due to seasonal changes,People forced to leave their homes due to impacts of climate change,Tourists visiting regions affected by climate change,3,https://education.nationalgeographic.org/resource/environmental-refugee/,Climate change fundamentals
IIASA,What are feed-in tariffs?,Penalties for companies exceeding emissions limits,Payments to individuals or companies for generating renewable energy and feeding it into the grid,Taxes on fossil fuel consumption,Subsidies for agricultural feed,2,"Couture, T. D., Cory, K., Kreycik, C., & Williams, E. (2010). Policymaker's guide to feed-in tariff policy design (No. NREL/TP-6A2-44849). National Renewable Energy Lab.(NREL), Golden, CO (United States).",Climate change fundamentals
IIASA,How can mangroves help in climate change mitigation and adaptation?,"By acting as carbon sinks, protecting coastlines from storms and erosion, and providing habitats",By emitting methane into the atmosphere,By increasing sea-level rise,By reducing biodiversity,1,"Choudhary, B., Dhar, V., & Pawase, A. S. (2024). Blue carbon and the role of mangroves in carbon sequestration: Its mechanisms, estimation, human impacts and conservation strategies for economic incentives. Journal of Sea Research, 199, 102504.",Climate change fundamentals
IIASA,What is the significance of the per capita carbon footprint?,It measures a country's total emissions,It has no relevance to climate policies,It reflects the average individual's contribution to greenhouse gas emissions,It is used to compare emissions between industries,3,"https://scied.ucar.edu/learning-zone/climate-solutions/carbon-footprint#:~:text=A%20carbon%20footprint%20is%20the,due%20to%20your%20individual%20activities.",Climate change fundamentals
IIASA,How can individuals reduce their carbon footprint?,By consuming more meat,"By using energy-efficient appliances, reducing waste, and choosing sustainable transportation",By increasing air travel,By ignoring energy conservation,2,https://explore.panda.org/climate/how-to-reduce-your-carbon-footprint,Climate change fundamentals
IIASA,What are climate tipping points?,Points in time when climate change reverses itself,Predictable changes in climate patterns,Points when emissions stop affecting the climate,Critical thresholds where small changes can lead to significant and irreversible impacts,4,"https://www.esa.int/Applications/Observing_the_Earth/Space_for_our_climate/Understanding_climate_tipping_points#:~:text=According%20to%20the%20Intergovernmental%20Panel,that%20the%20change%20is%20irreversible.",Climate change fundamentals
IIASA,Approximately what percentage of the global population is vulnerable to the impacts of climate change due to where they live?,40%,10%,60%,80%,1,https://www.who.int/news-room/fact-sheets/detail/climate-change-and-health,Climate change fundamentals
IIASA,By how much have global average sea levels risen since the late 19th century?,About 5 centimeters,About 1 meter,About 20 centimeters,About 5 meters,3,"https://www.climate.gov/news-features/understanding-climate/climate-change-global-sea-level#:~:text=Global%20average%20sea%20level%20has,3.99%20inches)%20above%201993%20levels.",Climate change fundamentals
IIASA,What is the expected increase in global mean surface temperature by the end of the 21st century under a high-emission scenario (RCP8.5)?,0.5°C,4.3°C,10°C,15°C,2,https://www.ipcc.ch/site/assets/uploads/2018/02/WG1AR5_Chapter12_FINAL.pdf,Climate change fundamentals
IIASA,Approximately how much of the global population lives within 100 kilometers of a coastline?,10%,40%,75%,20%,2,https://www.unep.org/topics/ocean-seas-and-coasts/regional-seas-programme/coastal-zone-management,Climate change fundamentals
IIASA,"What is the concept of ""loss and damage"" in climate change discussions?",The financial losses from economic recessions,The costs of renewable energy technologies,The decrease in biodiversity due to natural cycles,The impacts of climate change that cannot be avoided through mitigation or adaptation,4,"https://www.unep.org/topics/climate-action/loss-and-damage/about-loss-and-damage#:~:text=While%20mitigation%20addresses%20the%20causes,impacts%20of%20the%20climate%20crisis.",Climate change fundamentals
IIASA,Which international fund was established to assist developing countries in climate adaptation and mitigation?,The World Bank,The International Monetary Fund,The Green Climate Fund,The Fossil Fuel Subsidy Fund,3,"https://www.greenclimate.fund/about#:~:text=The%20Green%20Climate%20Fund%20(GCF,emissions%2C%20climate%2Dresilient%20pathways.",Climate change fundamentals
IIASA,What is the estimated number of people who could be displaced by climate change by 2050 according to the World Bank?,216 million,16 million,550 million,1 million,1,https://openknowledge.worldbank.org/entities/publication/2c9150df-52c3-58ed-9075-d78ea56c3267,Climate change fundamentals
IIASA,"What percentage of global greenhouse gas emissions is attributed to land use change, principally, deforestation?",12%-20%,25%,5%-7%,40%,1,https://climatefundsupdate.org/wp-content/uploads/2020/03/CFF5-2019-ENG-DIGITAL.pdf,Climate change fundamentals
IIASA,Which sector is the largest consumer of global freshwater resources?,Industrial,Domestic households,Energy production,Agricultural,4,"https://www.unesco.org/reports/wwdr/en/2024/s#:~:text=Worldwide%2C%20agriculture%20accounts%20for%20roughly,freshwater%20withdrawn%20for%20domestic%20purposes.",Climate change fundamentals
IIASA,Which region has warmed nearly four times faster than the globe since 1979?,Equatorial regions,Mid-latitude oceans,The Arctic,The Antarctic,3,"Rantanen, M., Karpechko, A. Y., Lipponen, A., Nordling, K., Hyvärinen, O., Ruosteenoja, K., ... & Laaksonen, A. (2022). The Arctic has warmed nearly four times faster than the globe since 1979. Communications earth & environment, 3(1), 168.",Climate change fundamentals
IIASA,What is the largest source of carbon dioxide emissions?,Volcanic eruptions,Burning fossil fuels,Deforestation,Wildfires,2,"https://www.epa.gov/ghgemissions/global-greenhouse-gas-overview#:~:text=Electricity%20and%20Heat%20Production%20(34,of%20global%20greenhouse%20gas%20emissions.",Climate change fundamentals
IIASA,What does climate resilience refer to? ,The ability of the climate to remain unchanged despite external forces,The capacity of systems to cope with climate hazards,The rate at which greenhouse gases are removed from the atmosphere,The effectiveness of climate policies,2,"https://www.epa.gov/climate-change-land-and-emergency-management/resiliency-and-adaptive-capacity#:~:text=Climate%20resilience%20and%20adaptive%20capacity,of%20opportunities%2C%20or%20coping%20with",Climate change fundamentals
